source_name,latitude,longitude
WWTP_506449185,-23.1215231,-47.2335829
Estação de Tratamento de Esgoto - ETE Anhumas,-22.8453616,-47.0299822
WWTP_508458664,-21.672012,-48.2461783
WWTP_509491260,-19.0612325,-49.6533845
WWTP_509517157,-19.0420543,-49.5246284
WWTP_513373763,-19.017057,-49.6122923
WWTP_520702454,-19.1407799,-49.4142035
WWTP_524444613,-23.6536105,-46.8532292
Estação de Tratamento de Esgoto Laranjal Paulista,-23.0224399,-47.8300896
Estação de Tratamento de Esgoto Laras,-22.9218165,-47.9013671
Estação de Tratamento de esgoto,-22.5168342,-46.6594204
Estação Alvorada,-23.0079225,-43.366453
Sabesp,-21.5048071,-47.4050603
Estação de Tratamento de Esgoto de Cláudio,-20.4437884,-44.8100441
Estação de Tratamento de Esgoto,-20.0596488,-49.9120306
Estacão de Tratamento de Esgoto,-21.1046407,-47.8132
WWTP_546953110,-22.9736389,-46.7195562
Estação de Tratamento de Esgoto,-19.7356287,-42.1313509
Varzea das Flores,-20.535429,-44.6264609
Estação de Tratamento de Esgoto COPASA,-19.489815,-42.5035652
WWTP_548641246,-19.8962913,-44.0890961
Sabesp,-23.0716877,-45.544474
Estação de Tratamento de Esgotos - SABESP,-23.7580698,-45.7222433
WWTP_552686678,-23.0161497,-49.8873914
Estação de Tratamento de Água de Reuso,-22.7773919,-41.9425525
WWTP_556352063,-23.2727166,-47.6965456
ETE do Jardim Esperança,-22.8215176,-42.0243291
ETE Barão Geraldo,-22.7677473,-47.0898466
Estação de Tratamento de Esgoto de Santa Maria de Jetibá,-20.032005,-40.7466978
Estação de Tratamento de Esgoto - SABESP,-23.8704799,-48.01461
ETE Sabesp,-21.6570044,-46.7585836
WWTP_587598549,-22.4101235,-45.7869137
COPASA - Estação de Tratamento de Água,-21.5367769,-43.0066414
WWTP_595189930,-23.0110233,-45.6007156
Estação de Tratamento de Esgoto Rio Sorocaba,-23.1502147,-47.7790576
Estação de Tratamento de Esgoto Nova Almeida,-20.042414,-40.2155619
Estação de Tratamento de Esgoto Furnas,-20.2013113,-40.2931028
Estação de Tratamento de Esgoto Marcílio de Noronha,-20.3409087,-40.424826
Estação de Tratamento de Esgoto,-20.9636963,-49.1588938
E.T.E. Vila,-20.4210597,-48.0099746
Estacao de Tratamento de Esgoto,-23.1709124,-48.1278866
ETE,-21.826667,-46.9221119
WWTP_610671752,-20.898403,-46.9352192
Estação de Tratamento de Esgoto,-20.7976298,-48.8072057
WWTP_624152708,-19.2758951,-44.407779
WWTP_624649841,-20.3941795,-47.4118881
Estação de Tratamento de Afluentes Cutrale,-21.9217273,-48.2411565
Estação de Tratamento de Esgoto,-20.6870995,-49.0752035
Estação de Tratamento de Esgoto,-20.7750992,-49.1996071
Estação de Tratamento de Esgoto,-20.4436252,-49.8821609
Sabesp,-23.9779266,-46.2495868
Estação de Tratamento de Esgoto Sanitário,-20.731451,-48.5573253
Estação de Tratamento de Esgoto,-20.5154849,-48.5567905
Estação de Tratamento de Esgoto Capuava,-23.1465446,-47.7193321
Estação de Tratamento de Esgoto,-20.2891084,-49.7080356
Tratamento de Esgoto,-19.6465378,-43.1764926
Estação de Tratamento de Esgoto de Mauá,-23.652924,-46.4842808
centro de tratamento de agua sabesp,-23.4045717,-46.8910405
Estação de Tratamento de Esgoto José Batista Marinho,-22.1387586,-47.6631007
Estação de Tratamento de Esgoto Anhumas,-22.8290607,-47.9320308
WWTP_660049264,-22.5159813,-43.8102378
Estação de Tratamento de Esgoto,-22.5872639,-47.7037901
WWTP_673489290,-23.3580345,-46.7451981
WWTP_682322534,-22.8606153,-47.2329014
WWTP_682920639,-22.1085223,-41.4818255
Estação de Tratamento de Esgoto,-20.0029109,-45.5392186
WWTP_686002982,-22.3420591,-47.3332155
WWTP_688050208,-19.9866267,-44.0863262
ETE Água Preta - COPASA,-20.627863,-43.7577526
Estação de tratamento de esgoto de Itapetininga,-23.5944527,-48.1141868
WWTP_694264269,-23.394674,-49.5124812
Estação de Tratamento de Esgoto,-21.9531963,-42.0101526
WWTP_699525444,-22.8753289,-42.0391125
