sample_id,latitude,longitude,distance_km,log_distance,shannon_diversity,evenness
Micro_P_0000479,-41.35,-71.56,880.4323411153799,2.9451889814022505,4.138651215243154,0.6570383492626045
Micro_P_0000480,-41.35,-71.56,880.4323411153799,2.9451889814022505,4.5406208113007525,0.6871398882619354
Micro_P_0000481,-41.26,-71.3,868.7044154171223,2.9393716749572905,3.624919111297281,0.5444447427802678
Micro_P_0000482,-41.19,-71.5,862.2753419976121,2.9361493361998057,5.448590798423258,0.6889635887417016
Micro_P_0000256,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.829721076294854,0.6979684594118207
Micro_P_0000257,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.154617512007159,0.7547252098838046
Micro_P_0000258,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.927459733244278,0.763008859412073
Micro_P_0000259,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.8495301707747664,0.7531086043305751
Micro_P_0000260,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.203718134442319,0.7493739606661802
Micro_P_0000261,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.517380203216454,0.7230072350570839
Micro_P_0000262,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.9241269794281255,0.7044272236763018
Micro_P_0000263,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.583032231411567,0.7376988273159095
Micro_P_0000264,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.297033019706177,0.6991218399737833
Micro_P_0000265,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.889745145400946,0.7936342489536085
Micro_P_0000266,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.502057189018501,0.771585813473181
Micro_P_0000267,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.9701357903349495,0.8112031840375461
Micro_P_0000268,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.481209915523023,0.842126952143405
Micro_P_0000269,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.968594210389558,0.7579441199603665
Micro_P_0000270,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.319322832604184,0.7375354480930166
Micro_P_0000271,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.864028016118285,0.7228854935847616
Micro_P_0000272,-2.28,-55.22,1400.4285347746995,3.146570956006872,4.682634261925996,0.744271287187146
Micro_P_0000273,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.10635173368723,0.6826282566655715
Micro_P_0000274,-2.28,-55.22,1400.4285347746995,3.146570956006872,5.4388470221281615,0.7620337457670826
