sample_id,latitude,longitude,shannon_diversity,pielou_evenness,species_richness,dominant_phylum
Micro_P_0000488,-34.72,-58.31,4.1201919909542735,0.6110432934380999,848,Unknown
Micro_P_0000489,-34.82,-58.36,5.873862236317088,0.7669529522118009,2119,Unknown
Micro_P_0000490,-34.81,-58.35,3.414170057354891,0.5155225710871514,752,Unknown
Micro_P_0000491,-34.79,-58.34,4.673608822674353,0.6490740327357069,1340,Unknown
Micro_P_0000492,-34.77,-58.34,4.038383370206715,0.5648154325094723,1274,Unknown
Micro_P_0000493,-34.76,-58.32,4.4425532789605615,0.6216852694029844,1269,Unknown
Micro_P_0000494,-34.73,-58.32,5.109981647927202,0.7023195081919695,1445,Unknown
Micro_P_0000495,-34.71,-58.31,4.526531172188834,0.6400256144001962,1179,Unknown
Micro_P_0000496,-34.69,-58.32,3.8608109981283807,0.5725759073406697,848,Unknown
Micro_P_0000139,-40.0,-69.98,4.380763250038067,0.7442551519020265,360,Unknown
Micro_P_0000142,-39.25,-68.74,4.23679811815947,0.7232581879014396,350,Unknown
Micro_P_0000146,-39.68,-69.35,4.461677794138033,0.7366413899510499,427,Unknown
Micro_P_0000147,-39.68,-69.35,4.784185844447345,0.756684298682281,557,Unknown
Micro_P_0000153,-40.75,-71.11,3.9409909592184267,0.6885528718484695,306,Unknown
Micro_P_0000140,-40.46,-70.66,3.6088908165052622,0.5974732836625761,420,Unknown
Micro_P_0000141,-40.12,-70.75,4.530257056702366,0.7660868781808281,370,Unknown
Micro_P_0000143,-39.3,-68.79,3.986097191444114,0.6891800954880357,325,Unknown
Micro_P_0000144,-39.3,-68.79,4.1112525011755245,0.7008054013550168,353,Unknown
Micro_P_0000145,-39.29,-68.78,4.298071531582663,0.7355247474556156,345,Unknown
Micro_P_0000148,-40.67,-71.01,4.272195705354095,0.7271908216583358,356,Unknown
Micro_P_0000149,-40.57,-70.85,4.415871108517352,0.7812259285576332,285,Unknown
Micro_P_0000150,-40.57,-70.85,4.450882781714723,0.780338801749799,300,Unknown
Micro_P_0000151,-40.35,-70.1,4.301840997781097,0.7528950240083192,303,Unknown
Micro_P_0000152,-40.35,-70.1,4.426298678690362,0.759749158446302,339,Unknown
Micro_P_0000154,-47.16,-71.23,4.911921676229201,0.7394702952542045,767,Unknown
Micro_P_0000155,-47.16,-71.23,5.333656069485221,0.7397499534742836,1353,Unknown
Micro_P_0000199,-47.16,-71.23,0.9329937457399313,0.20088613684787335,104,Unknown
Micro_P_0000156,-47.09,-71.16,5.692345397488234,0.802202798171164,1207,Unknown
Micro_P_0000157,-47.09,-71.16,4.596751486191236,0.6816001104381502,849,Unknown
